"","x"
"1","CNST"
"2","VSIR"
"3","CXCL8"
"4","MPIG6B"
"5","NRGN"
"6","PPBP"
"7","IL1B"
"8","RALB"
"9","VASP"
"10","TREML1"
"11","SERPINE1"
"12","SELP"
"13","PECAM1"
"14","MYH9"
"15","SLMAP"
"16","SPARC"
"17","TGFB1"
"18","FCN1"
"19","PF4"
"20","HSPB1"
"21","ESAM"
"22","APP"
"23","DAAM1"
"24","PPIF"
"25","PDLIM7"
"26","CCS"
"27","SKAP2"
"28","INPP5D"
"29","ENO2"
"30","ITGA6"
"31","CMIP"
"32","PSTPIP2"
"33","HPSE"
"34","IMMT"
"35","FGD3"
"36","SYTL4"
"37","SNCA"
"38","FN1"
"39","CCL5"
"40","RAB27B"
"41","PDE5A"
"42","PPM1A"
"43","ACOX1"
"44","SRC"
"45","GTPBP2"
"46","DBN1"
"47","RARRES2"
"48","SUSD1"
"49","NEXN"
"50","GRAP2"
"51","NCK2"
"52","EHD3"
"53","GP5"
"54","AK1"
"55","PDIA5"
"56","CHMP6"
"57","TIMP1"
"58","ANXA3"
"59","LYN"
"60","AIFM1"
"61","SCRN1"
"62","TOM1L2"
"63","CALCOCO1"
"64","COX5B"
"65","ESYT2"
"66","SERPINB1"
"67","OXCT1"
"68","GMPR"
"69","DAPP1"
"70","F11R"
"71","DCXR"
"72","CD36"
"73","PRKG1"
"74","FYB1"
"75","ACADSB"
"76","IQGAP2"
"77","DCTN2"
"78","DECR1"
"79","SLC27A4"
"80","ARHGAP1"
"81","ATXN10"
"82","DNM1"
"83","PRKAR1A"
"84","GP6"
"85","BIN2"
"86","PPM1F"
"87","DBNL"
"88","ARHGAP45"
"89","RAB10"
"90","NAP1L4"
"91","SLC9A3R1"
"92","SDHB"
"93","MGLL"
"94","GORASP2"
"95","CLEC1B"
"96","MINDY1"
"97","MPO"
"98","DCTN1"
"99","LETM1"
"100","PRDX6"
"101","GYS1"
"102","TMED8"
"103","CASP3"
"104","NAPRT"
"105","YWHAQ"
"106","TARS1"
"107","ERBIN"
"108","CD40"
"109","VAMP8"
"110","TRIM58"
"111","RAB37"
"112","APPL2"
"113","PDIA3"
"114","HSPA1A"
"115","PTPN1"
"116","COX6B1"
"117","AKT2"
"118","ENTR1"
"119","CD226"
"120","DUSP3"
"121","UROD"
"122","SHMT1"
"123","CA2"
